1	アウラキア浄化	闇の巡察者	79	-85	72	1200	120	無属性	小さい	－	剣	
2	アウラキア浄化	闇の追従者	79	-70	80	800	408	無属性	小さい	－	サッきゅん	
3	アウラキア浄化	闇の拷問官	79	-100	80	1100	408	無属性	小さい	－	鎌	
4	アウラキア浄化	闇の監視官	86	-110	106	35000	14000	無属性	大きい	－	デブ	
5	アウラキア浄化	目覚めたハッチリン	81	-65	75	700	102	無属性	小さい	－
6	アウラキア浄化	闇の巡察者	79	-80	75	900	102	無属性	小さい	－	弓	
7	アウラキア浄化	闇の監視官	85	-104	94	30000	14000	無属性	大きい	－	のっぽ	
8	アデン大陸	森の守護者 フェアリー クイーン	30	-80	100	2670	450	無属性	小さい	ドラゴンナイトの書板(サンダー グラップ)、魔法書(ライトニング ストーム)
9	アデン大陸	オーク住民	1	10	0	100	0	無属性	小さい	－
10	アデン大陸	グレムリン	4	10	1	50	20	火	小さい	マーブルの遺産
11	アデン大陸	ドワーフ ウォリアー	9	5	1	70	5	火	小さい	マーブルの遺産、強化 ヘイスト ポーション、ドワヴィッシュ アックス、ドワヴィッシュ クローク、ヘイスト ポーション、ドワヴィッシュ アイアン ヘルム、ドワヴィッシュ ラウンド シールド、ドワヴィッシュ ソード、アデナ
12	アデン大陸	ウェアウルフ	50	-35	14	358	10	火	小さい	ハルパスの執念、マーブルの遺産、モーニングスター、アデナ、スケイル メイル
13	アデン大陸	ライカンスロープ	55	-41	20	465	24	火	小さい	ハルパスの執念、防具強化スクロール、シルバー アックス、マーブルの遺産、チェーン メイル、アデナ、ヘイスト ポーション
14	アデン大陸	ノーム ソードマン	52	-37	14	355	10	火	小さい	ハルパスの執念、シルバー ロングソード、ジェネラル ソード、魔法のヘルム：治癒、グラディウス、アデナ、ブレイブ ポーション
15	アデン大陸	ノーム パイクマン	53	-38	12	428	5	火	小さい	ハルパスの執念、魔法のヘルム：治癒、フォチャード、アデナ
16	アデン大陸	ノーム シャーマン	54	-39	48	383	140	火	小さい	ハルパスの執念、ビショップ スタッフ、魔法書(マナ ドレイン)、魔法のヘルム：治癒、マナ回復ポーション、メイジ スタッフ、ブランク スクロール(Lv1)、アデナ
17	アデン大陸	ゴーレム	57	-43	16	590	12	火	大きい	ストーン グローブ(蘇生)、ストーン グローブ、ハルパスの執念、記憶の水晶(イリュージョン[ゴーレム])、アデナ
18	アデン大陸	オーク	53	-38	16	378	15	水	小さい	ハルパスの執念、ファアグリオの遺産、モーニングスター、アデナ
19	アデン大陸	オーク アーチャー	53	-38	16	363	15	水	小さい	ハルパスの執念、闇精霊の水晶(ドレス デクスタリティー)、ファアグリオの遺産、エルヴン ワッフル、ダーク クロスボウ、アデナ
20	アデン大陸	オーク ファイター	55	-41	20	418	24	水	小さい	ハルパスの執念、闇精霊の水晶(ドレス マイティー)、ファアグリオの遺産、グラディウス、アデナ、ブレイブ ポーション
21	アデン大陸	裏切り者 エルダー	62	-59	58	526	208	無属性	小さい	変身 コントロール リング、ハルパスの執念、メイプル ワンド、魔法書(グレーター リザレクション)、魔法書(カウンター マジック)、ソーサリー スタッフ、ブランク スクロール(Lv2)、アデナ、マナ回復ポーション、ウィズダム ポーション
22	アデン大陸	ファングス	50	-50	38	320	60	風	小さい	ハルパスの執念、エヴァの遺産、オペイク ポーション
23	アデン大陸	グリフォン	63	-65	20	663	24	地	大きい	精霊の水晶(サイクロン)、ハルパスの執念、魔法書(ホーリー ウォーク)、グリフォンの羽、サイハの遺産、記憶の水晶(マインド ブレイク)、アデナ
24	アデン大陸	砂の墓	60	-62	16	598	12	火	小さい	ハルパスの執念、ドラゴンナイトの書板(モータル ボディ)、黒い血痕、マーブルの遺産、アデナ
